study,dataset,method,case,wait,n_initializations,mse_median,nmse_median,difference_error_median,repeat_mse_median,wrong_ratio_median,repeat_vs_difference_median
c1,d03,ode_behavior,long8,0,3,0.38331351622132387,0.5284486045091766,,0.0001280513033613562,0.9995961763242105,
c1,d03,ode_behavior,reset_iso,0,3,0.12302066592131537,0.4846309589565179,0.9992140395577379,0.0001970399376516851,1.0004906595291467,0.0015551536032440089
c1,d03,ode_behavior,reset_iso,256,3,0.1234278508381728,0.48623503429826137,0.998752940099147,8.274584789009973e-05,1.0006654445550638,0.0006530782796290068
c1,d03,ode_behavior,reset_null,0,3,0.06426448435831333,0.2531652584398767,,0.0001414632034640911,1.0,
c1,d03,ode_behavior,reset_null,256,3,0.063451401481903,0.24996217763101566,,0.00010110604988005632,1.0,
c1,d03,ode_behavior,reset_ring4,0,3,0.0730158805263704,0.2876407466464401,0.9993957883762336,0.00012865081291074115,1.0007327714948648,0.001779579096699909
c1,d03,ode_behavior,reset_ring4,256,3,0.07250562475945974,0.2856306311932432,0.9985628588056121,8.885868473407135e-05,1.001231328837986,0.0012291493099442219
c1,d03,ode_behavior,ring4,0,3,0.023359644382014738,0.03220437306045509,,8.388516535493375e-05,0.9958298284768967,
c1,d03,ode_behavior,ring8,0,3,0.026990964972991662,0.03721063090845435,,8.318443945206737e-05,1.0000918624127824,
b1,b01,fixed_behavior,long8,0,3,0.12930492355875248,0.18063131489183218,,0.07047137005121741,1.5377369908355953,
b1,b01,fixed_behavior,reset_iso,0,3,0.059701192530339155,0.24251735564879642,0.7353139465716447,0.03643426441226316,1.6688294082749169,0.4418994347610117
b1,b01,fixed_behavior,reset_iso,256,3,0.057753401874566096,0.23460506748209917,0.736824325800587,0.03593599846880013,1.6895975592330945,0.4358561279362726
b1,b01,fixed_behavior,reset_null,0,3,0.044034663279981574,0.1788769979782114,,0.03927723004192364,1.0,
b1,b01,fixed_behavior,reset_null,256,3,0.04360255889802599,0.17712170955540696,,0.03835810211963222,1.0,
b1,b01,fixed_behavior,reset_ring4,0,3,0.04420569659506359,0.17957176713680836,0.6839049990172696,0.029425216196901194,1.5497556829818717,0.38048786117756733
b1,b01,fixed_behavior,reset_ring4,256,3,0.04392002799793715,0.17841132812661942,0.6849402686129143,0.029123311113964444,1.5516367944917695,0.37658402514399086
b1,b01,fixed_behavior,ring4,0,3,0.022918181468230322,0.03201534125384702,,0.003947073484082302,1.168756303123162,
b1,b01,fixed_behavior,ring8,0,3,0.026290985703719544,0.036726948879927404,,0.0050679935739187535,1.073150934948033,
b1,b01,free_behavior,long8,0,3,0.17734317845139524,0.24773790996610542,,0.002262036862972165,1.0129716898321408,
b1,b01,free_behavior,reset_iso,0,3,0.0690248623111037,0.28039183762040076,1.0078049487696101,0.0009424849577816053,0.9966642941198001,0.011431095888250345
b1,b01,free_behavior,reset_iso,256,3,0.06518077964117634,0.2647764583541928,1.000090023403909,5.036567669101344e-07,0.9999543174471712,6.108690382568424e-06
b1,b01,free_behavior,reset_null,0,3,0.06614229962313227,0.268682331479071,,0.0008175485809294539,1.0,
b1,b01,free_behavior,reset_null,256,3,0.06458590026311688,0.26235994760151954,,3.678851107125638e-07,1.0,
b1,b01,free_behavior,reset_ring4,0,3,0.05268990701469678,0.21403620894325612,1.000127831978254,0.0008610307733067699,1.0009152737813325,0.011133707740711889
b1,b01,free_behavior,reset_ring4,256,3,0.04892241835235378,0.1987319687915384,0.9999431309572977,6.414708458639971e-07,1.0000377409874384,8.294650021169962e-06
b1,b01,free_behavior,ring4,0,3,0.023211986680330598,0.032425769722641044,,0.0003906522521167392,0.9895392491248525,
b1,b01,free_behavior,ring8,0,3,0.02641423739763399,0.036899124191753764,,0.0003283244162266957,1.0330231727666122,
b1,b01,graph32_behavior,long8,0,3,0.4030291091314908,0.5630077797387724,,0.016423730323189407,1.0516785907373605,
b1,b01,graph32_behavior,reset_iso,0,3,0.14354188517081834,0.5830938535906042,0.6880649755453621,0.019503820569863963,1.1542003819458684,0.23655554529604167
b1,b01,graph32_behavior,reset_iso,256,3,0.14446516942084664,0.5868444060559549,0.6873681363877278,0.02084255710813231,1.1569607708465146,0.25279264872320945
b1,b01,graph32_behavior,reset_null,0,3,0.09190279060914897,0.37332624040884016,,0.018973056064483098,1.0,
